id,name,role_fr,role_en,groups,photo,social_linkedin,social_github,social_bluesky,social_website
aurelien-violet,Aurélien Violet,Board Member + Ops,Board Member + Ops,"direction,partenariats",,https://www.linkedin.com/in/aur%C3%A9lien-violet-bb97445/,,,
emmanuel-lagree,Emmanuel Lagrée,Edito + CFP (orga pas selection),Edito + CFP (orga pas selection),editorial,,https://www.linkedin.com/in/emmanuel-lagree-b0b090133/,,,
jean-christophe-sirot,Jean-Christophe Sirot,Edito + Billetterie,Edito + Billetterie,billetterie,,https://www.linkedin.com/in/jcsirot/,,,
jerome-petazzoni,Jérôme Petazzoni,Comité sélection + MC,Comité sélection + MC,editorial,,https://www.linkedin.com/in/jpetazzo/,,,
katia-himeur,Katia Himeur,Comité sélection + Edito (keynote),Comité sélection + Edito (keynote),"direction,editorial",,https://www.linkedin.com/in/katiahimeur/,,https://bsky.app/profile/katia-tal.bsky.social,
laila-atrmouh,Laïla Atrmouh,Comité sélection + Edito (keynote),Comité sélection + Edito (keynote),editorial,,https://www.linkedin.com/in/lailatrmouh/,,,
matthieu-saint-raymond,Matthieu Saint-Raymond,Sponsoring,Sponsoring,partenariats,,https://www.linkedin.com/in/matthieusaintraymond/,,,
rachid-zarouali,Rachid Zarouali,Aidants,Aidants,aidants,,https://www.linkedin.com/in/rachidzarouali/,,,
smaine-kahlouch,Smaine Kahlouch,Board Member + Edito,Board Member + Edito,"direction,editorial",,https://www.linkedin.com/in/sma%C3%AFne-kahlouch-44374110/,,https://bsky.app/profile/smana.dev,
stephane-beaumont,Stephane Beaumont,Sponsoring + Afterparty,Sponsoring + Afterparty,partenariats,,https://www.linkedin.com/in/stephanebeaumont/,,https://bsky.app/profile/stefbeaumont.bsky.social,
stephane-este-gracias,Stéphane Este-Gracias,Comité sélection + Stream inclusion,Comité sélection + Stream inclusion,inclusivite,,https://www.linkedin.com/in/sestegra/,,https://bsky.app/profile/sestegra.bsky.social,
yacine-kheddache,Yacine Kheddache,Com' & Marketing + Sponsoring,Com' & Marketing + Sponsoring,communication,,https://www.linkedin.com/in/yacinekheddache/,,https://bsky.app/profile/kheddache.me,
